date,close,volume,open,high,low
,,,,,
2017/05/26,153.61,21895020,154,154.24,153.31
2017/05/25,153.87,19217810,153.73,154.35,153.03
2017/05/24,153.34,19201820,153.84,154.17,152.67
2017/05/23,153.8,19906170,154.9,154.9,153.31
2017/05/22,153.99,22930630,154,154.58,152.91
2017/05/19,153.06,26892850,153.38,153.98,152.63
2017/05/18,152.54,33520150,151.27,153.34,151.13
2017/05/17,150.25,50674280,153.6,154.57,149.71
2017/05/16,155.47,19994270,155.94,156.06,154.72
2017/05/15,155.7,25912270,156.01,156.65,155.05
2017/05/12,156.1,32493770,154.7,156.42,154.67
2017/05/11,153.95,27236290,152.45,154.07,152.31
2017/05/10,153.26,25779060,153.63,153.94,152.11
2017/05/09,153.99,38907940,153.87,154.88,153.45
2017/05/08,153.01,48670440,149.03,153.7,149.03
2017/05/05,148.96,27254850,146.76,148.98,146.76
2017/05/04,146.53,23345970,146.52,147.14,145.81
2017/05/03,147.06,45579740,145.59,147.49,144.27
2017/05/02,147.51,44182930,147.54,148.09,146.84
2017/05/01,146.58,33498270,145.1,147.2,144.96
2017/04/28,143.65,20783460,144.09,144.3,143.27
2017/04/27,143.79,14198660,143.923,144.16,143.31
2017/04/26,143.68,19998050,144.47,144.6,143.3762
2017/04/25,144.53,18325720,143.91,144.9,143.87
2017/04/24,143.64,17117710,143.5,143.95,143.18
2017/04/21,142.27,17290900,142.44,142.68,141.85
2017/04/20,142.44,23294040,141.22,142.92,141.16
2017/04/19,140.68,17302160,141.88,142,140.45
2017/04/18,141.2,14676420,141.41,142.04,141.11
2017/04/17,141.83,16529130,141.48,141.88,140.87
2017/04/13,141.05,17775510,141.91,142.38,141.05
2017/04/12,141.8,20320420,141.6,142.15,141.01
2017/04/11,141.63,30341520,142.94,143.35,140.06
2017/04/10,143.17,18904680,143.6,143.8792,142.9
2017/04/07,143.34,16658660,143.73,144.18,143.27
2017/04/06,143.66,21131040,144.29,144.52,143.45
2017/04/05,144.02,27649500,144.22,145.46,143.81
2017/04/04,144.77,19865300,143.25,144.89,143.17
2017/04/03,143.7,19970040,143.71,144.12,143.05
2017/03/31,143.66,19576480,143.72,144.27,143.01
2017/03/30,143.93,21189000,144.19,144.5,143.5
2017/03/29,144.12,29174040,143.68,144.49,143.19
2017/03/28,143.8,33348400,140.91,144.04,140.62
2017/03/27,140.88,23531670,139.39,141.22,138.62
2017/03/24,140.64,22355140,141.5,141.74,140.35
2017/03/23,140.92,20299310,141.26,141.5844,140.61
2017/03/22,141.42,25804820,139.845,141.6,139.76
2017/03/21,139.84,39461130,142.11,142.8,139.73
2017/03/20,141.46,21258100,140.4,141.5,140.23
2017/03/17,139.99,43700570,141,141,139.89
2017/03/16,140.69,19173780,140.72,141.02,140.26
2017/03/15,140.46,25676720,139.41,140.7501,139.025
2017/03/14,138.99,15281850,139.3,139.65,138.84
2017/03/13,139.2,17048800,138.85,139.43,138.82
2017/03/10,139.14,19578920,139.25,139.3571,138.64
2017/03/09,138.68,22117750,138.74,138.79,137.05
2017/03/08,139,18695500,138.95,139.8,138.82
2017/03/07,139.52,17439210,139.06,139.98,138.79
2017/03/06,139.34,21229890,139.365,139.77,138.5959
2017/03/03,139.78,21555370,138.78,139.83,138.59
2017/03/02,138.96,26170690,140,140.2786,138.76
2017/03/01,139.79,36362440,137.89,140.15,137.595
2017/02/28,136.99,23446340,137.08,137.435,136.7
2017/02/27,136.93,20222210,137.14,137.435,136.28
2017/02/24,136.66,21754600,135.91,136.66,135.28
2017/02/23,136.53,20762360,137.38,137.48,136.3
2017/02/22,137.11,20769030,136.43,137.12,136.11
2017/02/21,136.7,24487200,136.23,136.75,135.98
2017/02/17,135.72,22163280,135.1,135.83,135.1
2017/02/16,135.345,22539860,135.67,135.9,134.8398
2017/02/15,135.51,35578640,135.52,136.27,134.62
2017/02/14,135.02,33054500,133.47,135.09,133.25
2017/02/13,133.29,22989980,133.08,133.82,132.75
2017/02/10,132.12,20046250,132.46,132.94,132.05
2017/02/09,132.42,28321440,131.65,132.445,131.12
2017/02/08,132.04,22941650,131.35,132.22,131.22
2017/02/07,131.53,38158410,130.54,132.09,130.45
2017/02/06,130.29,26784530,129.13,130.5,128.9
2017/02/03,129.08,24460160,128.31,129.19,128.16
2017/02/02,128.53,33671250,127.975,129.39,127.78
2017/02/01,128.75,111837300,127.03,130.49,127.01
2017/01/31,121.35,47767760,121.15,121.39,120.62
2017/01/30,121.63,30327110,120.93,121.63,120.66
2017/01/27,121.95,20495340,122.14,122.35,121.6
2017/01/26,121.94,26320740,121.67,122.44,121.6
2017/01/25,121.88,32417410,120.42,122.1,120.28
2017/01/24,119.97,23191150,119.55,120.1,119.5
2017/01/23,120.08,21982000,120,120.81,119.77
2017/01/20,120,29922650,120.45,120.45,119.7346
2017/01/19,119.78,25554290,119.4,120.09,119.37
2017/01/18,119.99,23687350,120,120.5,119.71
2017/01/17,120,34412090,118.34,120.24,118.22
2017/01/13,119.04,26083030,119.11,119.62,118.81
2017/01/12,119.25,27057550,118.895,119.3,118.21
2017/01/11,119.75,27453130,118.74,119.93,118.6
2017/01/10,119.11,24432660,118.77,119.38,118.3
2017/01/09,118.99,33420290,117.95,119.43,117.94
2017/01/06,117.91,31714820,116.78,118.16,116.47
2017/01/05,116.61,22115100,115.92,116.8642,115.81
2017/01/04,116.02,21081620,115.85,116.51,115.75
2017/01/03,116.15,28769220,115.8,116.33,114.76
2016/12/30,115.82,30555900,116.65,117.2,115.43
2016/12/29,116.73,14979680,116.45,117.1095,116.4
2016/12/28,116.76,20686510,117.52,118.0166,116.2
2016/12/27,117.26,18131970,116.52,117.8,116.49
2016/12/23,116.52,14244050,115.59,116.52,115.59
2016/12/22,116.29,26043820,116.35,116.51,115.64
2016/12/21,117.06,23724430,116.8,117.4,116.78
2016/12/20,116.95,21337310,116.74,117.5,116.68
2016/12/19,116.64,27756760,115.8,117.38,115.75
2016/12/16,115.97,44284660,116.47,116.5,115.645
2016/12/15,115.82,46286150,115.38,116.73,115.23
2016/12/14,115.19,33962370,115.04,116.2,114.98
2016/12/13,115.19,43293350,113.84,115.92,113.75
2016/12/12,113.3,26176690,113.29,115,112.49
2016/12/09,113.95,34324350,112.31,114.7,112.31
2016/12/08,112.12,27049830,110.86,112.43,110.6
2016/12/07,111.03,29976030,109.26,111.19,109.16
2016/12/06,109.95,26160560,109.5,110.36,109.19
2016/12/05,109.11,34113880,110,110.03,108.25
2016/12/02,109.9,26481320,109.17,110.09,108.85
2016/12/01,109.49,37034520,110.365,110.94,109.03
2016/11/30,110.52,36151450,111.6,112.2,110.27
2016/11/29,111.46,28507780,110.78,112.03,110.07
2016/11/28,111.57,27054320,111.43,112.465,111.39
2016/11/25,111.79,11475920,111.13,111.87,110.95
2016/11/23,111.23,27420550,111.36,111.51,110.33
2016/11/22,111.8,25931710,111.95,112.42,111.4
2016/11/21,111.73,29164190,110.12,111.99,110.01
2016/11/18,110.06,28310840,109.72,110.54,109.66
2016/11/17,109.95,27623150,109.81,110.35,108.83
2016/11/16,109.99,58724080,106.7,110.23,106.6
2016/11/15,107.11,32230590,106.57,107.68,106.1593
2016/11/14,105.71,50901380,107.71,107.809,104.08
2016/11/11,108.43,34117030,107.12,108.87,106.55
2016/11/10,107.79,57097740,111.09,111.09,105.83
2016/11/09,110.88,59118740,109.88,111.32,108.05
2016/11/08,111.06,24129630,110.31,111.72,109.7
2016/11/07,110.41,32361930,110.08,110.51,109.46
2016/11/04,108.84,30790930,108.53,110.25,108.11
2016/11/03,109.83,26538700,110.98,111.46,109.55
2016/11/02,111.59,28174980,111.4,112.35,111.23
2016/11/01,111.49,43403760,113.46,113.77,110.53
2016/10/31,113.54,26378910,113.65,114.23,113.2
2016/10/28,113.72,36792100,113.87,115.21,113.45
2016/10/27,114.48,31396130,115.39,115.86,114.1
2016/10/26,115.59,66028640,114.31,115.7,113.31
2016/10/25,118.25,46820600,117.95,118.36,117.31
2016/10/24,117.65,23492650,117.1,117.74,117
2016/10/21,116.6,22527690,116.81,116.91,116.28
2016/10/20,117.06,24100150,116.86,117.38,116.33
2016/10/19,117.12,19977160,117.25,117.76,113.8
2016/10/18,117.47,24308210,118.18,118.21,117.45
2016/10/17,117.55,23583810,117.33,117.84,116.78
2016/10/14,117.63,35626020,117.88,118.17,117.13
2016/10/13,116.98,35041820,116.79,117.44,115.72
2016/10/12,117.34,37512930,117.35,117.98,116.75
2016/10/11,116.3,63963010,117.7,118.69,116.2
2016/10/10,116.05,36087910,115.02,116.75,114.72
2016/10/07,114.06,24336440,114.31,114.56,113.51
2016/10/06,113.89,28508710,113.7,114.34,113.13
2016/10/05,113.05,21400410,113.4,113.66,112.69
2016/10/04,113,29707270,113.06,114.31,112.63
2016/10/03,112.52,21634520,112.71,113.05,112.28
2016/09/30,113.05,36340670,112.46,113.37,111.8
2016/09/29,112.18,35850010,113.16,113.8,111.8
2016/09/28,113.95,29608390,113.69,114.64,113.43
2016/09/27,113.09,24587490,113,113.18,112.34
2016/09/26,112.88,29800240,111.64,113.39,111.55
2016/09/23,112.71,52411070,114.42,114.79,111.55
2016/09/22,114.62,31048170,114.35,114.94,114
2016/09/21,113.55,35951900,113.85,113.989,112.441
2016/09/20,113.57,34494150,113.05,114.12,112.51
2016/09/19,113.58,46937190,115.19,116.18,113.25
2016/09/16,114.92,79763890,115.12,116.13,114.04
2016/09/15,115.57,90398170,113.86,115.73,113.49
2016/09/14,111.77,111186900,108.73,113.03,108.6
2016/09/13,107.95,62080160,107.51,108.79,107.24
2016/09/12,105.44,45114590,102.65,105.72,102.53
2016/09/09,103.13,46461610,104.64,105.72,103.13
2016/09/08,105.52,52955310,107.25,107.27,105.24
2016/09/07,108.36,42250480,107.83,108.76,107.07
2016/09/06,107.7,26645130,107.9,108.3,107.51
2016/09/02,107.73,26393770,107.7,108,106.82
2016/09/01,106.73,26675250,106.14,106.8,105.62
2016/08/31,106.1,31639010,105.66,106.5699,105.64
2016/08/30,106,24817940,105.8,106.5,105.5
2016/08/29,106.82,24900130,106.62,107.44,106.29
2016/08/26,106.94,27744300,107.41,107.95,106.31
2016/08/25,107.57,25001730,107.39,107.88,106.68
2016/08/24,108.03,23606240,108.565,108.75,107.68
2016/08/23,108.85,21236850,108.59,109.32,108.53
2016/08/22,108.51,25784420,108.86,109.1,107.85
2016/08/19,109.36,25108890,108.77,109.69,108.36
2016/08/18,109.08,21918340,109.23,109.6,109.02
2016/08/17,109.22,25328680,109.1,109.37,108.34
2016/08/16,109.38,33754680,109.63,110.23,109.21
2016/08/15,109.48,25704330,108.14,109.54,108.08
2016/08/12,108.18,18648700,107.78,108.44,107.78
2016/08/11,107.93,27460070,108.52,108.93,107.85
2016/08/10,108,23839880,108.71,108.9,107.76
2016/08/09,108.81,26296260,108.23,108.94,108.01
2016/08/08,108.37,28010430,107.52,108.37,107.16
2016/08/05,107.48,39546610,106.27,107.65,106.18
2016/08/04,105.87,26781730,105.58,106,105.28
2016/08/03,105.79,30148360,104.81,105.84,104.77
2016/08/02,104.48,33770220,106.05,106.07,104
2016/08/01,106.05,38018910,104.41,106.15,104.41
2016/07/29,104.21,27697970,104.19,104.55,103.68
2016/07/28,104.34,38771840,102.83,104.45,102.82
2016/07/27,102.95,92143920,104.265,104.35,102.75
2016/07/26,96.67,53454620,96.82,97.97,96.42
2016/07/25,97.34,40290580,98.25,98.84,96.92
2016/07/22,98.66,28218240,99.26,99.3,98.31
2016/07/21,99.43,32690080,99.83,101,99.13
2016/07/20,99.96,26219110,100,100.46,99.735
2016/07/19,99.87,23766360,99.56,100,99.34
2016/07/18,99.83,36464530,98.7,100.13,98.6
2016/07/15,98.78,30031410,98.92,99.3,98.5
2016/07/14,98.79,38885980,97.39,98.99,97.32
2016/07/13,96.87,25879680,97.41,97.67,96.84
2016/07/12,97.42,24129530,97.17,97.7,97.12
2016/07/11,96.98,23317990,96.75,97.65,96.73
2016/07/08,96.68,28877500,96.49,96.89,96.05
2016/07/07,95.94,24460850,95.7,96.5,95.62
2016/07/06,95.53,30877540,94.6,95.66,94.37
2016/07/05,94.99,27553750,95.39,95.4,94.46
2016/07/01,95.89,25982080,95.49,96.465,95.33
2016/06/30,95.6,35783320,94.44,95.77,94.3
2016/06/29,94.4,36505420,93.97,94.55,93.63
2016/06/28,93.59,40387960,92.9,93.66,92.14
2016/06/27,92.04,45595680,93,93.05,91.5
2016/06/24,93.4,75219710,92.91,94.655,92.65
2016/06/23,96.1,32042290,95.94,96.29,95.25
2016/06/22,95.55,29124140,96.25,96.89,95.35
2016/06/21,95.91,35407050,94.94,96.35,94.676
2016/06/20,95.1,34355970,96,96.57,95.03
2016/06/17,95.33,60793260,96.62,96.65,95.3
2016/06/16,97.55,31251870,96.45,97.75,96.07
2016/06/15,97.14,29373050,97.82,98.41,97.03
2016/06/14,97.46,31890740,97.32,98.475,96.75
2016/06/13,97.34,37708360,98.69,99.12,97.1
2016/06/10,98.83,31672220,98.53,99.3457,98.48
2016/06/09,99.65,26575570,98.5,99.99,98.46
2016/06/08,98.94,20839950,99.02,99.56,98.68
2016/06/07,99.03,22378380,99.25,99.87,98.96
2016/06/06,98.63,23265200,97.99,101.89,97.55
2016/06/03,97.92,28487570,97.79,98.27,97.45
2016/06/02,97.72,40170200,97.6,97.84,96.63
2016/06/01,98.46,29139100,99.02,99.54,98.33
2016/05/31,99.86,42268040,99.6,100.4,98.82
2016/05/27,100.35,36299460,99.44,100.47,99.245
2016/05/26,100.41,56293490,99.68,100.73,98.64
